Week,Date,Campaign,AdSet,Ad,Indicator,ActionKey,AmountSpent,Results,CostPerResult,Impressions
,2025-12-01,Mess FB_051125,ITR-2255-HCM-Perfume,"WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM_New",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,13395,0,,50
,2025-12-01,Mess FB_051125,ITR-2255-HCM-Luxury Brand,"VDO_V1_251125_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,115571,4,"28892,75",881
,2025-12-01,Impression FB_041125,Distric focus_22-45_U,DIRTY MILK — THIS IS NOT YOUR MORNING MILK,reach,reach,125317,23433,"5347,89",23647
,2025-12-02,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,98820,3,32940,3403
,2025-12-02,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,1412,0,,35
,2025-12-02,Mess FB_051125,ITR-2255-HCM-Perfume,"WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM_New",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,23023,0,,94
,2025-12-02,Mess FB_051125,ITR-2255-HCM-Luxury Brand,"VDO_V1_251125_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,98876,1,98876,908
,2025-12-02,Impression FB_041125,Distric focus_22-45_U,DIRTY MILK — THIS IS NOT YOUR MORNING MILK,reach,reach,126128,19320,"6528,36",19856
,2025-12-02,Visit IG_041125,Distric focus_22-45_U,CRS_V1_021225_DIRTY MILK — THIS IS NOT YOUR MORNING MILK,profile_visit_view,profile_visit_view,138527,72,"1923,99",3711
,2025-12-02,Visit IG_041125,Distric focus_22-45_U,"CRS_V1_021225_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",profile_visit_view,profile_visit_view,1166,1,1166,32
,2025-12-02,Visit IG_041125,Distric focus_22-45_U,CRS_V1_021225_NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,profile_visit_view,profile_visit_view,1876,0,,55
,2025-12-02,Impression FB_041125,Distric focus_22-45_U,NGẬP TRÀN TRONG CƠN MÊ CHOCOLATE VỚI CHOCO LOCO,reach,reach,192,30,6400,30
,2025-12-03,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,71780,8,"8972,5",1775
,2025-12-03,Mess FB_051125,ITR-2255-HCM-Perfume,DIRTY MILK — THIS IS NOT YOUR MORNING MILK_New - Copy,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,20989,2,"10494,5",356
,2025-12-03,Mess FB_051125,ITR-2255-HCM-Perfume,"WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM_New",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,7276,0,,36
,2025-12-03,Mess FB_051125,ITR-2255-HCM-Luxury Brand,"VDO_V1_251125_WHITE CRUSH - TỪ SẠCH SẼ ĐẾN ẤM ÁP, SỰ LẤP LÁNH CỦA HƯƠNG THƠM",actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,79697,3,"26565,67",696
,2025-12-03,Impression FB_041125,Distric focus_22-45_U,DIRTY MILK — THIS IS NOT YOUR MORNING MILK,reach,reach,121525,18769,"6474,77",18769
